data,res
https://cdn.jsdelivr.net/npm/@fingerprintjs/fingerprintjs@3/dist/fp.min.js,fp
https://www.liqpay.ua/static/js/fingerprint2.fix.ie9.js,fp
https://st1.zoom.us/static/94178/js/app/home.min.js,nonfp
de7b722037e84bad9179ac553a2021c4,nonfp
67aa76b3db0caf80e36cda41ad61abff,nonfp
a43bba120d04399ca730c2d9fdc1e388,nonfp
fb6ac41d5cc934f450a8edb0e34ed925,nonfp
e48fdbebd4474518e3453b5295de0385,nonfp
de1c7df58f7a4e594662c13c046d3b1d,nonfp
d89dac666261c3195c3fca29f02dde11,nonfp
78e26bc1f599bbea320004afbe8a5e91,nonfp
1a263d01be994e27a5dcbcd53b9557a5,nonfp
ab0ee9a5c9143d70f0cfb484721d6a6e,nonfp
5fcbd89cc14d5760b97ba79b069c969d,nonfp
c31ae5cfb3b78c906f18927aef478523,nonfp
59ba94252f40e849647f464d23c04b7a,nonfp
359f5b7d56575d3638bbd87c7e04b002,nonfp
a7c0f998883c29c677b7b848b6bb68c9,nonfp
b7be21404165372f2322f033ba89fb71,nonfp
b7c73f2426061f072a48caec0b0a9d92,nonfp
81b0886a6d78c15d149fd1134630f5aa,nonfp
ca231d2b1d546b72bfd63ade8dd1d6c8,nonfp
5dc476902293e939c83c4a67cfed9fb2,nonfp
d8d1c950a08fccfb352fc34d754c4069,nonfp
4b4ed5f65a47510d3e47902ca3f2faaf,nonfp
289a8d25feb896a1dc7b0ca215123e64,nonfp
14ddd1dede11764d3ddd85b5d475c4c4,nonfp
https://www.youtube.com/s/player/51ff6aac/player_ias.vflset/en_GB/miniplayer.js,nonfp
https://www.youtube.com/s/player/51ff6aac/player_ias.vflset/en_GB/remote.js,fp
https://www.youtube.com/s/desktop/03f86491/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js,fp
https://www.youtube.com/s/desktop/03f86491/jsbin/custom-elements-es5-adapter.vflset/custom-elements-es5-adapter.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/webcomponents-sd.vflset/webcomponents-sd.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/scheduler.vflset/scheduler.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/www-i18n-constants-en_GB.vflset/www-i18n-constants.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/www-tampering.vflset/www-tampering.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/spf.vflset/spf.js,nonfp
https://www.youtube.com/s/desktop/03f86491/jsbin/network.vflset/network.js,nonfp
f5395756a7af5af5e164ab14b9fbf33f,nonfp
6d1beaa1ec5022065d75299e541ab76b,nonfp
a20d7a93bf1ad16cb1a0c66679c40580,nonfp
bfca6eb3b0ad02455ab8557c25c14ebc,nonfp
413a6fd84e58ce4bcf6e9a274a1baaaa,nonfp
c74ef3eb1bab86c82ca864c79c1525d5,nonfp
2197416dbc7330d4cf84450bd4a48350,nonfp
63f6c9486ebebcc399706afae698050b,nonfp
62f0dc9b9feb27035020d5f98a9367b4,nonfp
93b032b9cdbc855d7742163068aee5b4,nonfp
1aa8336af082a16fc6a891d304ba23ea,nonfp
cfbcb2811f65eef8f0ba5f9cc8659859,nonfp
25a2429c5514cad8c3a88eb70a8f56e0,nonfp
0f3fd448db164ff3186413b3270a270e,nonfp
7905904b6551c5d9f3a9d95e1794c6c9,nonfp
b3e658cfd92bf9b75bbd32c74e093643,nonfp
https://www.google-analytics.com/analytics.js,nonfp
https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,fp
88e684d7eb0893df37c0cff070932d55,nonfp
089c4b486eeada4427ec3cea9031a933,nonfp
